ENGINEERING CUTOFF RANK OF CET-2016 - R2 Extended ALLOTMENT ( General ) 26-07-2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,E001  University Visveswariah College of Engineering  Bangalore,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,19343,20483,--,18664,--,22905,15844,33923,19260,14587,--,16120,15548,--,16008,13476,15447,15798,24197,--,38300,18082,--,20772
CS Computers,5652,--,7071,5641,6011,9010,7725,--,--,4091,--,--,5864,--,--,3104,3872,5482,19407,34091,36452,6431,--,--
EC Electronics,5848,--,11811,6688,--,8617,7618,--,--,4400,6690,--,5658,--,--,4047,4554,6474,20692,--,23851,7986,--,15312
EE Electrical,11101,--,--,13019,18875,19578,18186,--,--,12112,--,--,10522,--,14213,9193,11228,14006,29424,49471,45108,15381,--,--
IE Info.Science,8257,--,--,7145,--,10654,9458,--,42392,5077,--,11364,8363,--,--,5048,8944,7535,31825,--,51955,13037,25435,--
ME Mechanical,14991,--,15301,11975,13643,22386,12294,--,--,10782,--,--,10013,12900,15106,7465,8385,12720,27380,36806,41828,19501,--,--
2,,,E002  S K S J T Institute of Engineering.  Bangalore,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,32418,--,--,30220,31516,34237,37294,--,--,24087,--,30748,26414,--,--,23367,24262,26218,29167,30370,40272,27430,--,32398
CS Computers,20927,--,--,22206,29907,27694,18540,--,29973,16029,--,--,17824,--,22612,15925,16719,19231,35061,--,48074,17965,--,--
EC Electronics,24874,--,26364,20321,--,22880,23396,--,--,20120,--,--,19619,--,21773,15427,20765,19325,39848,49896,51514,27006,--,--
ST Silk Tech.,--,--,--,67674,--,--,--,--,--,--,--,--,66236,68990,--,54822,--,57408,72395,--,87071,86018,--,--
TX Textiles,81796,--,--,76259,--,80457,75429,--,--,53289,--,--,60318,--,--,49511,57454,57726,86925,--,108766,63313,--,--
3,,,"E003  B M S College of Engineering  Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,10175,--,--,9914,--,10858,13075,20414,13911,7130,--,11143,7563,--,--,6493,9473,10799,19444,--,22885,10744,--,--
EC Electronics,1601,--,--,2816,--,6268,1571,--,12790,1214,--,--,1394,2576,--,905,2552,1687,12038,--,14086,3463,--,--
EE Electrical,5797,--,--,6735,12659,6974,8279,--,--,3343,--,6993,4100,--,7023,2686,4831,6561,22962,27524,40030,7053,--,--
IM Ind. Engg.,23739,--,--,22597,37610,51040,18740,--,62591,14916,--,--,24560,--,40602,10818,27186,36174,59366,--,71094,30553,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,6624,--,11027,2980,--,4279,3748,--,--,3562,--,--,5244,--,6479,1627,4645,3397,13143,19709,16935,8309,--,--
4,,,E004  Dr. Ambedkar Institute Of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,24047,--,--,27714,32089,34559,33516,--,--,21333,--,--,25631,--,27839,21112,21694,26269,33563,35994,43345,32928,--,--
CS Computers,12771,--,25031,12579,--,14793,9389,27598,--,9402,--,--,8664,--,--,8482,11262,13754,25866,--,36177,12865,--,29198
EC Electronics,14023,--,15262,14748,30768,19743,21947,--,--,11713,--,15833,11785,--,19546,10000,12500,15122,35122,51436,38793,16015,--,--
EE Electrical,24380,--,--,24139,27177,29570,20405,--,50772,17952,--,25795,20094,--,--,16663,19912,20061,34478,48793,57880,28941,--,--
IM Ind. Engg.,42500,--,107371,67864,--,105648,51348,--,--,55016,--,67214,45792,--,--,41121,57520,63244,85785,--,95337,42663,119986,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
IT Inst.Tech.,54286,--,--,47448,49847,73028,33793,--,100715,42694,--,--,35166,--,54846,31136,38240,49750,74987,75925,112994,63384,--,--
ME Mechanical,30116,--,--,26448,32457,33117,25784,--,43355,22724,--,--,24260,--,27798,20110,26492,24844,43569,44396,44973,29823,--,32410
TC Telecommn.,32591,--,100917,34890,--,43940,35609,--,--,24102,--,--,26967,38138,41308,23986,34090,37671,54394,--,71544,57191,--,--
5,,E005  R. V. College of Engineering  Bangalore,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
BT Bio Technology,7627,--,--,8324,--,--,9551,--,23711,11011,--,17580,8247,--,--,5749,16410,12205,14197,--,--,--,--,--
CE Civil,4429,--,8101,7650,--,9538,4583,8735,--,4518,--,--,4822,--,10918,4010,5815,5247,14173,--,24700,9470,--,--
CH Chemical,--,80485,--,19243,--,--,13477,--,--,9934,--,--,--,--,--,1838,--,8389,41570,--,--,27732,--,37252
CS Computers,798,--,2672,1137,--,2491,2299,--,5554,527,--,--,532,3916,701,239,1555,476,8915,--,16524,2470,--,--
EC Electronics,901,--,7490,1862,1915,5423,1285,--,--,721,--,--,594,--,3803,478,1765,1179,6905,34297,11612,6038,--,--
EE Electrical,3227,--,--,3714,6224,--,3416,--,--,2012,--,--,2516,--,--,651,--,4336,11923,--,--,--,--,19269
IE Info.Science,1389,--,--,2422,--,3952,3191,--,--,1426,--,--,660,--,--,558,--,726,10636,24215,22410,--,--,--
IM Ind. Engg.,20004,--,--,14919,--,24050,18657,--,--,7441,--,--,12397,--,--,7076,23913,17872,42709,--,55292,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
IT Inst.Tech.,11591,--,--,4814,--,12621,6113,--,--,4987,--,--,2492,--,--,2428,7866,8660,31133,--,37613,--,--,--
ME Mechanical,3065,--,--,3268,15719,3862,3083,--,4484,1298,--,--,1771,--,--,816,1920,2163,12629,26499,16370,3026,--,--
SE Aero Space,3867,--,--,8315,--,--,8014,--,--,3865,18698,8846,5366,--,--,3060,--,6581,14999,--,--,--,--,--
Engg.,,,,,,,,,,,,,,,,,,,,,,,,
TC Telecommn.,4612,--,--,3853,--,9527,4799,--,--,2780,--,--,2751,--,--,1841,8089,4783,13198,--,34417,4291,--,--
6,,,E006  M S Ramaiah Institute of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
BT Bio Technology,29154,--,--,16078,--,--,14996,--,--,12246,46712,27592,14476,--,--,8742,--,21710,37596,--,--,--,--,49407
CE Civil,16465,--,--,12967,--,17562,10580,27034,44250,9078,--,--,9596,--,13554,8326,10798,10270,18203,--,25823,12825,--,--
CH Chemical,33461,--,--,18651,--,24982,18612,--,--,12820,--,--,9282,--,--,5831,6746,19722,36762,74835,44927,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING CUTOFF RANK OF CET-2016 - R2 Extended ALLOTMENT ( General ) 26-07-2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
6,,,E006  M S Ramaiah Institute of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CS Computers,3639,5453,--,3517,--,5368,1744,--,--,1356,--,4062,1721,--,--,868,3569,4044,7066,--,34506,7238,--,--
EC Electronics,4319,--,10951,3819,--,5618,2865,--,--,1638,--,--,2629,3400,5123,1249,2367,2945,12387,--,14207,10082,--,--
EE Electrical,6171,--,--,8061,12218,--,5273,--,--,4021,--,--,7030,--,--,3245,--,6328,14956,--,--,--,--,8987
IE Info.Science,4817,--,33260,5087,6432,7629,4007,--,--,1683,--,--,2511,--,--,1616,4118,4329,18738,29079,34263,10825,--,--
IM Ind. Engg.,21757,--,--,20002,--,39159,24942,--,--,13784,--,--,23431,--,--,8495,34428,34553,51935,--,78705,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
IT Inst.Tech.,17179,--,--,10098,--,38352,12365,--,--,8440,--,--,8490,--,--,6173,22102,12656,44364,--,89104,31986,--,--
MD Med.Elect.,24418,--,--,14195,--,33724,36239,--,--,15339,--,--,11533,--,--,9911,--,33111,40164,119606,63790,--,--,--
ME Mechanical,5464,--,14917,8070,21893,15417,5205,--,15836,4643,--,--,5157,--,8579,3462,8120,7458,19493,21557,29572,13230,--,--
TC Telecommn.,10764,--,--,7596,--,23574,8594,--,--,4072,--,--,8801,--,--,3915,8621,14952,32508,--,59556,41016,--,--
7,,,E007  Dayananda Sagar College of Engineering  Bangalore,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,8436,--,--,7279,--,--,8850,--,--,6039,16175,14308,5466,--,--,5164,--,7967,20587,--,--,--,--,23140
AU Automobile,28806,--,--,18896,--,--,22919,39641,--,22870,--,56963,23363,--,--,17835,26591,35080,48720,--,--,23821,--,--
BT Bio Technology,30900,--,--,21729,--,--,21378,--,--,19112,--,--,20804,--,--,12272,20884,35818,46943,78600,--,--,--,80487
CE Civil,17578,--,--,24647,29532,28901,20202,--,44819,18784,--,--,18175,--,25788,16362,17436,22342,30669,33612,42165,24138,--,--
CH Chemical,40662,101254,--,22489,--,--,20748,--,--,23670,--,--,12671,--,--,10621,31626,34429,49017,--,--,--,--,86231
CS Computers,5920,--,--,7221,--,13179,4030,--,14337,4344,--,8873,5223,--,--,3918,9325,7643,25846,--,41272,17581,29567,--
CT Const. Tech.,70821,--,--,50911,--,--,36365,--,--,35573,--,--,37054,--,--,34536,62732,42279,81205,--,117270,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,11287,--,17047,7933,11214,14007,10941,--,23422,5834,--,--,7263,--,11868,5124,7904,10597,25617,39084,45261,10978,--,--
EE Electrical,15598,--,37746,17264,25769,21974,11932,--,--,12765,--,--,11876,--,19193,11058,15455,16217,29234,40603,47148,26144,--,--
IE Info.Science,12393,--,--,10130,--,17253,13524,--,23787,5783,--,--,6979,14463,--,5635,12095,11700,37439,--,39763,19866,--,--
IM Ind. Engg.,51802,--,--,35675,--,107707,26606,--,--,28739,--,--,25838,--,--,25002,47818,33183,87861,--,--,--,--,--
