CollegeName,BranchName,Quota,CutoffRank
E005  R. V. College of Engineering  Bangalore,CS Computers,GM,239
E005  R. V. College of Engineering  Bangalore,CS Computers,GMR,476
E005  R. V. College of Engineering  Bangalore,EC Electronics,GM,478
E005  R. V. College of Engineering  Bangalore,CS Computers,3AG,527
E005  R. V. College of Engineering  Bangalore,CS Computers,3BG,532
E005  R. V. College of Engineering  Bangalore,IE Info.Science,GM,558
E005  R. V. College of Engineering  Bangalore,EC Electronics,3BG,594
E005  R. V. College of Engineering  Bangalore,EE Electrical,GM,651
E005  R. V. College of Engineering  Bangalore,IE Info.Science,3BG,660
E005  R. V. College of Engineering  Bangalore,CS Computers,3BR,701
E005  R. V. College of Engineering  Bangalore,EC Electronics,3AG,721
E005  R. V. College of Engineering  Bangalore,IE Info.Science,GMR,726
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,GM,756
E005  R. V. College of Engineering  Bangalore,CS Computers,1G,798
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,GM,809
E005  R. V. College of Engineering  Bangalore,ME Mechanical,GM,816
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,GM,868
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,3BG,900
E005  R. V. College of Engineering  Bangalore,EC Electronics,1G,901
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,GM,905
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,1G,1099
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,GM,1133
E005  R. V. College of Engineering  Bangalore,CS Computers,2AG,1137
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,GM,1167
E005  R. V. College of Engineering  Bangalore,EC Electronics,GMR,1179
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,GM,1190
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,3AG,1214
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,GM,1249
E005  R. V. College of Engineering  Bangalore,EC Electronics,2BG,1285
E005  R. V. College of Engineering  Bangalore,ME Mechanical,3AG,1298
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,3AG,1356
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,3BG,1367
E005  R. V. College of Engineering  Bangalore,IE Info.Science,1G,1389
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,3BG,1394
E005  R. V. College of Engineering  Bangalore,IE Info.Science,3AG,1426
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,GMK,1480
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,GM,1513
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,3AG,1525
E005  R. V. College of Engineering  Bangalore,CS Computers,GMK,1555
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,2BG,1571
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,1G,1601
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,GM,1616
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,GM,1627
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,3AG,1638
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,GM,1653
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,3AG,1683
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,GMR,1687
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,3BG,1721
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,2BG,1744
E005  R. V. College of Engineering  Bangalore,EC Electronics,GMK,1765
E005  R. V. College of Engineering  Bangalore,ME Mechanical,3BG,1771
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,3AG,1810
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,GM,1823
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,3BG,1837
E005  R. V. College of Engineering  Bangalore,CH Chemical,GM,1838
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,GMK,1839
E005  R. V. College of Engineering  Bangalore,TC Telecommn.,GM,1841
E005  R. V. College of Engineering  Bangalore,EC Electronics,2AG,1862
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,3AG,1864
E005  R. V. College of Engineering  Bangalore,EC Electronics,2AK,1915
E005  R. V. College of Engineering  Bangalore,ME Mechanical,GMK,1920
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,3BG,1936
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,3AG,1952
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,3BG,1958
E005  R. V. College of Engineering  Bangalore,EE Electrical,3AG,2012
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,GMR,2097
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,3BG,2128
E005  R. V. College of Engineering  Bangalore,ME Mechanical,GMR,2163
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,3BG,2183
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,3AG,2187
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,GMR,2201
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,GMK,2205
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,3BG,2216
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,2AG,2234
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,GM,2273
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,3AG,2285
E005  R. V. College of Engineering  Bangalore,CS Computers,2BG,2299
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,GMK,2367
E005  R. V. College of Engineering  Bangalore,IE Info.Science,2AG,2422
E005  R. V. College of Engineering  Bangalore,IT Inst.Tech.,GM,2428
E005  R. V. College of Engineering  Bangalore,CS Computers,STG,2470
E005  R. V. College of Engineering  Bangalore,CS Computers,2AR,2491
E005  R. V. College of Engineering  Bangalore,IT Inst.Tech.,3BG,2492
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,3BG,2511
E005  R. V. College of Engineering  Bangalore,EE Electrical,3BG,2516
E008  Bangalore Institute of Technology  Bangalore,CS Computers,GM,2541
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,GMR,2551
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,GMK,2552
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,2BG,2555
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,3BK,2576
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,3AG,2580
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,IE Info.Science,GM,2621
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,2BG,2627
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,3BG,2629
"E048  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,GM,2662
E005  R. V. College of Engineering  Bangalore,CS Computers,1R,2672
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,GMK,2682
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,3BG,2683
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,GM,2686
E005  R. V. College of Engineering  Bangalore,TC Telecommn.,3BG,2751
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,GMK,2756
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,GMR,2777
E005  R. V. College of Engineering  Bangalore,TC Telecommn.,3AG,2780
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,3AG,2814
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,2AG,2816
